"Origin","Cocoa.Percent","Ingredients","Characteristics","Rating"
"Peru","70%",3,"molasses, cocoa",2.75
"Bolivia","70%",3,"sandy, tobacco, molasses",3
"Venezuela","72%",3,"mild metallic and spice",3
"Venezuela","70%",3,"sandy, nutty, cocoa",3.25
"Nicaragua","72%",3,"sandy, molasses, spice",3.25
"Dominican Republic","73%",2,"sandy, mild intensity, fruit",3.5
"Dominican Republic","70%",3,"soapy, earthy",2.75
"Colombia","72%",3,"caramel, molasses, fruit",3.5
"Colombia","76%",3,"caramel, sweet, delicate",3.5
"Honduras","72%",3,"roasty, black pepper, nutty",3.5
"Venezuela","72%",3,"nutty, floral, roasty",3.5
"Dominican Republic","70%",3,"med roast, grassy, dried fruit",3.75
"Belize","72%",3,"bright fruit, molasses, nutty",4
"Venezuela","70%",2,"nutty, roasty, caramel",3.25
"Puerto Rico","70%",3,"smooth, mellow, floral",3.5
"Mexico","70%",3,"smooth, caramel, dried fruit",3.75
"Peru","70%",3,"complex, strawberry, floral",4
"Venezuela","72%",3,"mild strawberry, cocoa, acidic",4
"Trinidad","75%",3,"grassy, fatty, bittersweet",2.5
"Madagascar","74%",3,"tart, bitter, astringent",2.75
"Cuba","72%",3,"bitter, fatty, woodsy",3
"Ecuador","70%",3,"burnt rubber, leather",2.5
"Peru","70%",3,"mild fruit, off notes",2.75
"Venezuela","70%",3,"nutty, roasty, smokey",2.75
"Bolivia","70%",3,"creamy, woody, slight cherry",3
"Ecuador","72%",NA,"sticky, mild mint, bitter",2.75
"Uganda","70%",3,"sandy, roasty, coffee",2.75
"Madagascar","70%",3,"cherry, sour milk, brownie",3
"Belize","70%",3,"vanilla, sour, bubblegum",3
"Peru","72%",3,"dominate grape, plastic off note",3.25
"Bolivia","74%",2,"dark roast, rich cocoa",3
"Venezuela","68%",3,"butter, roasty, cocoa, nutty",3.5
"Belize","70%",3,"slightly metallic, woody, berry",3.25
"Ecuador","75%",3,"dry, sandy, cocoa",3
"Ecuador","55%",3,"very sweet, very spicey",2.75
"Costa Rica","70%",3,"green, leafy",3.5
"Peru","72%",3,"spicy, chocolatey, atypical",3
"Ecuador","72%",3,"sl. chalky, floral, pure",3.5
"Colombia","83%",3,"early fruit, earthy, alcohol",3.25
"Dominican Republic","69%",3,"dried fruit, banana, sweet, vanilla",3.25
"Blend","70%",NA,"cocoa, subtle peanut butter",3.5
"Ecuador","70%",3,"floral, earthy",3.25
"Belize","75%",2,"bland, mild choco & leather",3
"Belize","82%",2,"powdery, bland, mild choco",3.25
"Vietnam","70%",2,"roasty, sour milk, off note",2.75
"Malaysia","70%",2,"high roast, banana raspberry",3.5
"Nicaragua","72%",3,"grassy, rubbery",2.5
"Dominican Republic","71%",3,"chunky, spicy, rubbery",3.25
"Peru","65%",2,"flat, metallic, floral",2.5
"Dominican Republic","80%",2,"spicy, earthy off notes",2.5
"Peru","65%",2,"flat, floral, medicinal",2.75
"Madagascar","74%",2,"sugar dominates, molasses",3
"Madagascar","70%",2,"mild, fruity then nutty",3.75
"Venezuela","68%",2,"mild, earthy, grassy",3.75
"Peru","90%",2,"sticky, bitter, molasses, tart",2.5
"Blend","80%",2,"sticky, coconut, sour, bitter",2.5
"Bolivia","70%",2,"gritty, molasses, earthy",2.5
"Uganda","70%",2,"roasty, cocoa, molasses",2.75
"Nicaragua","80%",2,"nutty, roasty, bitter",2.75
"Dominican Republic","60%",2,"gritty, sweet, molasses",3
"Dominican Republic","75%",2,"sandy, rich, roasty, earthy",3
"Venezuela","80%",2,"gritty, nutty, caramel",3
"Ecuador","70%",2,"molasses, tart, floral",3.25
"Peru","74%",3,"unrefined, odd, vegetal",2.75
"Haiti","69%",3,"earthy, floral, slight mustiness",3
"Dominican Republic","75%",3,"cocoa, vanilla, burn astringency",3
"Madagascar","70%",3,"cocoa, dried fruit, sour milk",3
"Dominican Republic","75%",3,"earthy, coffee, mild, tang",3.25
"Congo","68%",3,"bold, rich cocoa, coffee",3.5
"Peru","80%",3,"nuts, coffee, peanut butter",3.75
"Ecuador","82%",3,"sandy, fruity, burnt",2.5
"Peru","68%",3,"sandy, sweet, cocoa",2.75
"Madagascar","72%",3,"tart, bright fruit, sour coffee",3.25
"Peru","70%",2,"intense orange, floral notes",3.75
"Peru","69%",3,"floral, orange, cocoa",3.75
"Venezuela","80%",2,"mild bitter, fruit, spice",3.75
"Venezuela","70%",3,"nutty, mild dried fruit, sandy, off",2.75
"Dominican Republic","72%",3,"spicy, banana",3.25
"India","70%",3,"nutty, honey, grassy",3
"Mexico","70%",4,"fatty, vanilla, mass market",2.5
"India","63%",3,"sandy, tart, ham, sweet",2.5
"Guatemala","76%",2,"high astringent, fruit, roasty",2.75
"Peru","70%",2,"sandy, sweet",2.75
"Venezuela","77%",NA,"coarse, vegetal, nibby",3
"Mexico","65%",NA,"rustic,sweet, brownie, banana",3.25
"Mexico","75%",3,"grainy, sweet, whole bean",3.25
"Guatemala","70%",2,"melon, mild spice, cocoa",3.25
"Dominican Republic","73%",2,"hazelnut, bold, strong roast",3.25
"Belize","70%",2,"full flavor w/ dominant roast",3.5
"Ecuador","71%",4,"earthy, floral, mild bitter",2.5
"Grenada","71%",4,"sweet, cardboard",2.5
"Blend","70%",4,"sweet, marshmallow",3
"Venezuela","71%",4,"long lasting, cocoa base",3.5
"Blend","60%",4,"chewy, fudge-like, perfume",3.25
"Blend","75%",4,"oily, grassy, minty",3.25
"Mexico","71%",4,"earthy, sweet",3.25
"Madagascar","71%",4,"spicey, cocoa",3.5
"Mexico","65%",2,"coarse, sweet, sour, leathery",2.5
"Mexico","75%",2,"gritty, mild bitter, off notes",2.5
"Venezuela","80%",4,"dry, ashey, medicinal",2.5
"Mexico","70%",4,"fatty, cigarette butt, coffee",2.75
"Brazil","70%",4,"oily, muted, fruity",3
"Brazil","80%",4,"roasty, tart, slight burnt",3
"Venezuela","70%",4,"slow, fatty, subdued, nutty",3
"Guatemala","70%",2,"rich, raisiny, molasses",3.5
"Venezuela","75%",2,"mild lemon, cocoa, crisp nibs",3.75
"Belize","70%",2,"fruity, honey, cocoa, roasty",3.75
"Madagascar","67%",2,"cherry, perfectly balanced roast",4
"Tanzania","75%",2,"roasty, cocoa, sandy, coffee AT",3.5
"Bolivia","75%",2,"hint of lemon, classic brownie",3.75
"Venezuela","75%",2,"sandy, dried fruit, earth, tobacco",2.5
"Martinique","42%",4,"gritty, sweet, hot cocoa",2.75
"Peru","70%",2,"sweet, sandy, spicy",2.75
"Peru","75%",3,"bold, spice, hit of anise",3.75
"Vietnam","72%",3,"roasty, hammy, nutty",3
"Costa Rica","70%",3,"cocoa, woody, basic",3.25
"Ecuador","73%",3,"rich cocoa, floral, acidic",3.5
"Tanzania","72%",3,"basic cocoa,mild fruit, sweet",3.5
"Dominican Republic","72%",3,"smooth, spicy, cocoa",3.75
"Brazil","70%",3,"creamy, dried fruit, nutty",4
"Peru","68%",NA,"oily, citrus, orange",3.75
"Venezuela","61%",5,"sweet, peanut butter",3
"Venezuela","77%",3,"red berry, bitter, roasty, sour",2.75
"Blend","100%",NA,"chalky, musty, very bitter",1
"Blend","80%",3,"bitter, light lime, sour",3
"Blend","75%",3,"dry, sandy, cocoa, coffee",3.75
"Blend","73.50%",2,"short,mild cocoa, mild fruit",3.75
"Dominican Republic","70%",3,"spice, earthy, honey, sour",3.5
"Haiti","79%",3,"blueberry, sweet edge, pure",3.5
"Ecuador","73%",2,"creamy, floral, bourbon",3.5
"Peru","70%",3,"balanced, anise, creamy",3.5
"St. Lucia","70%",4,"raw, dirty, metallic, dry",2.25
"Peru","68%",3,"molasses, dried fruit, tart, off",3
"Madagascar","77%",2,"Rich cocoa, tart, papery",3.25
"Colombia","70%",3,"sweet, cocoa, cardboard off",3.25
"Venezuela","80%",NA,"very sour, mildly bitter",2.75
"Ecuador","88%",NA,"slightly burnt, mildly bitter",2.75
"Bolivia","72%",NA,"dry, coffee, sour",3.25
"Venezuela","70%",NA,"minty, nutty, nutmeg",3.75
"Venezuela","70%",NA,"cocoa then roasted nut",3.25
"Ecuador","76%",2,"bold, roasty, sticky, brownie",3.5
"Vietnam","78%",2,"woody, nutty, off sour note",2.75
"Philippines","70%",3,"cocoa, grass, off notes",2.5
"Ivory Coast","70%",3,"off, harsh, dirty, chemical",2.5
"Peru","68%",3,"spicy, vanilla, sweet, cocoa",3.25
"Tanzania","75%",3,"cocoa, mild fruit",3.5
"Madagascar","72%",3,"creamy, woodsy, cocoa",3
"Mexico","72%",3,"intense, tangy, berry, sour",3
"Venezuela","72%",3,"lemon, sour, slight metallic",3
"Peru","72%",3,"creamy, buttery, non descript",3
"Peru","62%",3,"woodsy, nutty",3.25
"Venezuela","70%",3,"slow, less intense berry, nutty",3.5
"Venezuela","70%",3,"dark berry, winey",3.75
"Ecuador","72%",3,"harsh aroma, melon floral,off",2.5
"Venezuela","70%",3,"fruity, bland",3
"Trinidad","72%",3,"dry, spicy, woody",3
"Grenada","72%",3,"coffee and cocoa",3.25
"Jamaica","72%",3,"oily, fatty, rum",3.25
"Venezuela","72%",3,"oily, coffee",3.25
"Ecuador","100%",NA,"high intensity bitter",1.5
"Ghana","85%",3,"silky, minty",3.5
"Madagascar","70%",3,"sandy, sweet, tart red berry",3.5
"Blend","72%",3,"creamy, nutty, cocoa",3.75
"Ecuador","65%",4,"oily, fragrant, spciy",3.25
"Ghana","75%",3,"oily, rich cocoa, nutty",3.75
"Blend","70%",NA,"this is not chocolate",1
"Tanzania","75%",3,"spice, roasty, off fatty note",3.25
"Brazil","65%",3,"sandy, sweet, smokey",3.25
"Fiji","67%",3,"acidic, sweet, cucumber",3.25
"Vanuatu","64%",3,"sandy, sweet, spicy, roasty",3.25
"Papua New Guinea","75%",3,"sandy, sweet, nutty",3.5
"Papua New Guinea","70%",3,"true to sugar, molasses",2.5
"Vanuatu","83%",3,"banana nut",2.75
"Ecuador","85%",3,"oily, mild bitter, nutty, fruit",3.25
"Ecuador","73%",3,"creamy, complex, fruity",3.75
"Dominican Republic","70%",2,"deep cherry, earthy, rubbery",3.25
"Colombia","70%",2,"nutty, citrus",3.25
"Ecuador","70%",2,"bold, black tea, floral, banana",3.25
"Honduras","70%",2,"banana, spicy, grassy",3.5
"India","70%",2,"sticky, cocoa, honey",3.75
"Honduras","72%",2,"floral, mild molasses, astringent",3
"Guatemala","72%",2,"sticky, mild molasses, mango",3.5
"Nicaragua","72%",2,"mild molasses, creamy, caramel",3.5
"Guatemala","70%",3,"sandy, sweet, basic cocoa base",3.25
"Haiti","70%",3,"rich malt",3.5
"Belize","75%",3,"raspberry, cocoa",3.5
"Mexico","70%",3,"raisins, honey, molassses",3.5
"Mexico","73%",2,"deep cocoa, fruit, melon",3.75
"Australia","70%",5,"vanilla, banana, citrus",3.25
"Australia","70%",3,"sandy, candy like vanilla, off",2.75
"Dominican Republic","72%",2,"hammy, sour, astringent",2.75
"Grenada","70%",3,"off, pungent, intense",2.25
"Nicaragua","70%",3,"oily, grapes, pungent",2.75
"Trinidad","70%",3,"floral, sour, synthetic, off",3
"Ecuador","70%",3,"floral, banana",3.5
"Blend","65%",4,"sweet, vinegar",2.5
"Puerto Rico","68%",4,"harsh woody/green, cocoa base",2.5
"India","72%",4,"fresh fruit, sour cherry, roasty",3
"Peru","72%",4,"raisiny, slight anise, roasty",3.5
"Costa Rica","70%",2,"dried fruit, tannic",3
"Colombia","70%",2,"grassy, green, candy spice",3.25
"Dominican Republic","70%",2,"spicy, fudgey",3.75
"Venezuela","70%",2,"acidic, sour, cocoa",2.75
"Venezuela","70%",2,"licorice, sour, rich cocoa",3.25
"Venezuela","70%",2,"roasty, oreo shell, coffee",3.5
"Papua New Guinea","70%",2,"mild smoke, raspberry,cocoa",3.5
"Liberia","70%",2,"roasty, spicy, nutty",2.75
"Belize","70%",2,"heavy roast, blackberry",3.5
"Ecuador","70%",2,"gummy, nutty, bourbon",3.5
"Dominican Republic","70%",2,"cherry, rich choco",3.75
"Belize","70%",2,"intense, roasty, coffee, raisin",3
"Dominican Republic","70%",2,"cherry, rich choco",3.75
"Costa Rica","70%",2,"cocoa, sour, toffee, earthy",3
"Sierra Leone","70%",2,"vegetal, high astringency",3
"Honduras","70%",2,"nutty, moderate acidity",3.25
"India","70%",2,"ripe orange, citrus",3.5
"Vietnam","70%",2,"green apple, sticky",3.5
"Guatemala","70%",2,"pungent, woody, choco pudding",2.75
"India","70%",2,"pungent, sour, tart, intense",2.75
"Peru","70%",2,"grape, pungent",3.25
"India","70%",2,"orange soda, sour",3.25
"Tanzania","70%",2,"dairy, honey, cocoa",3.5
"Dominican Republic","70%",2,"faint fruit, basic fudgey",3.5
"Brazil","70%",2,"distinct choco and graham",4
"Dominican Republic","70%",2,"grassy, fruity, brownie",3.25
"Madagascar","70%",2,"brownie, red berry",3.25
"Tanzania","70%",2,"cocoa flavor dominates",3.25
"Dominican Republic","70%",2,"light caramel, sl. dry, earthy",3
"Guatemala","75%",4,"dark woody, plum, astringent",3
"Guatemala","60%",4,"wood, holiday spice, soap",3.25
"Guatemala","60%",4,"oily, dried fruit, vanilla",3.5
"Venezuela","75%",4,"gummy, fatty, caramel",3
"Guatemala","70%",2,"nutty, ashey, spicy pepper",3.25
"Guatemala","70%",2,"spicy",3.75
"Madagascar","70%",2,"oily, toffee, hints of fruit",3.75
"Guatemala","70%",2,"sweet spice, floral",4
"Guatemala","82%",4,"fatty, sunflower, peanutbutter",3.25
"Venezuela","72%",2,"nut, tobacco, burnt, off notes",2.75
"Vietnam","72%",2,"raisins, astringent",3
"Blend","70%",2,"floral, licorice, roasty",3.25
"Costa Rica","72%",3,"creamy, intense, tart, cherry",3.75
"Peru","72%",4,"muted, creamy, grapes, fatty",3
"Vietnam","70%",4,"muted, creamy, basic cocoa",3.25
"Madagascar","70%",3,"sweet, strong sour, acidic",3
"Tanzania","70%",3,"intense, sweet, brownie",3
"Venezuela","70%",3,"roasty, nutty, sweet",3.25
"Ecuador","70%",3,"bold, floral, rum",3.25
"Bolivia","75%",3,"mild cherry, fatty",3.25
"Blend","58%",4,"nice melt, odd rubber notes",3.25
"Ghana","70%",4,"vanilla, fatty, basic cocoa",2.5
"Dominican Republic","70%",4,"chalky, vanilla, caramel",2.75
"Venezuela","70%",4,"fatty, powdery, nut, sl. Burnt",2.75
"Brazil","72%",3,"texture issues, brownie",3.5
"Brazil","65%",3,"one dimensional, brownie",3.5
"Uganda","70%",3,"high roast, intense, fatty",2.5
"Madagascar","70%",3,"high roast, fruit",3
"Madagascar","66%",4,"sandy, cloying, rich cocoa",2.5
"Costa Rica","64%",4,"dark coffee, cocoa",3
"Ecuador","71%",4,"cinamon, nutmeg, coffee",3
"Ghana","60%",4,"nutty, simple, sweet",3
"Papua New Guinea","64%",4,"waxy, tobacco, smokey",3
"Peru","64%",4,"mild mint, basic cocoa",3
"Venezuela","66%",4,"fatty, rich cocoa, roasty",3.75
"Papua New Guinea","64%",4,"smokey,chalky,berry,caramel",3
"Dominican Republic","70%",2,"metallic, dirt/ earthy",2.5
"Dominican Republic","70%",2,"dirty, floral, unrefined",2.5
"Dominican Republic","80%",2,"mild bitter, fatty, grassy",3
"Tanzania","72%",2,"vanilla, chemical, rubber",2.5
"Guatemala","72%",2,"smokey, roasty, acidic, rich",3
"Costa Rica","77%",2,"red berry, lingering coffee",3.5
"Dominican Republic","77%",2,"sticky, woodsy, rum",3.5
"Bolivia","80%",2,"intense fruit, bitter ending",2.75
"Madagascar","80%",2,"sandy, flat, hint of berry",2.75
"Venezuela","75%",2,"sticky, very roasty, nutty",2.75
"Dominican Republic","74%",2,"earthy, tart, sour",3
"Ecuador","70%",2,"grassy, tea, late sour",3.25
"Bolivia","75%",2,"dry, mint, medicinal",2.75
"Ecuador","70%",2,"oily, black pepper, roasty",3.25
"Ecuador","76%",2,"butter, floral, rum",3.5
"Dominican Republic","74%",2,"mild fruit and spice, roasty",3.5
"Bolivia","70%",2,"sticky, rich, cherry",3.75
"Vietnam","78%",2,"tropical berry, intense",3.5
"Guatemala","70%",2,"blackberry, raisns",3.75
"Brazil","75%",2,"sticky, roasty nibs, grapes",3.75
"Solomon Islands","72%",2,"well defined, creamy, cherry",4
"Fiji","80%",2,"cocoa, tea, malt",3.75
"Madagascar","72%",2,"sticky, dried fruit, toast, cocoa",3.75
"Belize","72%",2,"creamy, sticky, dried fruit",4
"Blend","73%",2,"burnt honey, earthy",3.5
"Jamaica","75%",2,"sl. bitter, black licorice, dried fig",3.75
"Mexico","72%",2,"dried fruit, fig, astringent, sticky",4
"Bali","65%",3,"earthy, astringent, metallic",2.5
"Peru","65%",3,"peanut butter, dirty",2.75
"Vietnam","70%",3,"sweet, fatty, rancid",2.75
"Madagascar","63%",3,"sl sour, grassy, off, fatty",3
"Sao Tome","75%",4,"late cocoa, harsh, off notes",2.5
"Sao Tome","70%",4,"cocoa, raw, dirty, chemical",2.75
"Sao Tome","65%",4,"complex, sweet, sour, grassy",3
"Sao Tome","75%",4,"bland, fatty, fruit",3
"Panama","72%",3,"mild cherry, earthy",3.25
"Venezuela","72%",3,"fatty, rasin, nutty",3.25
"Nicaragua","72%",3,"nutty, caramel, toffee",3.5
"Venezuela","85%",3,"intense, spicy, floral",3
"U.S.A.","70%",NA,"creamy, nutty, fruity",3.75
"Blend","70%",3,"acidic, astringent, unpleasant",1.5
"Blend","88%",3,"sticky, floral",3
"Venezuela","70%",2,"long lasting, fruit",3
"Peru","70%",2,"floral, olive",3.25
"Venezuela","70%",2,"creamy, basic cocoa",3.5
"Venezuela","75%",2,"sticky, smoke, ham, earthy",3.25
"Venezuela","60%",2,"mild spice, licorice",3.25
"Madagascar","70%",2,"fruity, basic cocoa",3.5
"Madagascar","70%",2,"smooth, banana, cocoa",3.5
"Indonesia","70%",2,"creamy, smokey, tobacco",3.75
"Venezuela","70%",2,"creamy, complex, coffee",4
"Ecuador","70%",2,"creamy, nuts, woody, cocoa",4
"Venezuela","70%",2,"creamy, mint, tobacco, olive",4
"Venezuela","70%",2,"cucumber, hot spices",3
"Colombia","70%",2,"creamy, woody, earthy",3
"Blend","78%",2,"sticky, grassy, coffee",3.5
"Blend","70%",2,"sticky, olive",3.75
"Venezuela","70%",2,"subtle, caramel, sour milk",3
"Venezuela","70%",2,"smooth, intense, smoke, nut",3.5
"Tanzania","70%",2,"sticky, nutty",3.5
"Venezuela","70%",2,"creamy, coffee, caramel",3.75
"Venezuela","100%",NA,"smooth, fruit, coffee, bitter",3
"Ecuador","70%",2,"floral, well developed, creamy",3.75
"Venezuela","70%",2,"nutty, strawberry, creamy",3.75
"Tanzania","70%",2,"creamy, sticky, fruit",4
"Brazil","70%",2,"grassy, herbal, tea",3.5
"Venezuela","70%",3,"burnt rubber, molasses",2.5
"Colombia","80%",3,"bitter,molasses,marshmallow",2.75
"Madagascar","77%",3,"fruity, molasses",2.75
"Grenada","75%",3,"licorice, molasses, rubber",2.75
"Philippines","71.50%",3,"molasses notes from sugar",2.75
"Guatemala","72%",3,"near perfect shine, cocoa",3.5
"Peru","80%",2,"molasses, fruit",3.5
"Belize","78%",3,"molasses notes dominate",3.25
"Dominican Republic","75%",2,"dry, earthy, walnut",2.5
"Tanzania","70%",2,"dry, sour, sweet, mild fruit",2.75
"Dominican Republic","75%",2,"dry, cocoa, grassy, spicy",3
"Nicaragua","75%",2,"earthy, dirty",2.75
"Dominican Republic","70%",2,"tobacco, roasty, hint of fruit",3.25
"Haiti","70%",2,"rich brownie, roasty, coffee",3.25
"Haiti","60%",2,"gritty,sweet,brownie,maple syrup",3
"Peru","75%",2,"savory, sl. sour",3
"Peru","70%",2,"bold, grapes, roasty, chocolatey",3.5
"Ecuador","70%",3,"chalky, bread, dirt",2.5
"Panama","70%",3,"caramel and cocoa",3.5
"Ecuador","72%",3,"rich cocoa, fruity, strong floral",3.75
"Peru","70%",3,"dark forest berry, spice",3.75
"Panama","72%",3,"licorice, leathery",3
"Nicaragua","71%",3,"intense, almond, coffee",3.25
"Dominican Republic","65%",3,"heavy roast, woody, berry",3.5
"Venezuela","71%",3,"intense cocoa",3.5
"Honduras","72%",3,"dried fruit, grapes, sour",3.75
"Venezuela","72%",3,"creamy, nutty",3.75
"Nicaragua","70%",4,"sandy, full bodied, spicy",3.5
"Nicaragua","76%",4,"black pepper, rich, intense",3.75
"Guatemala","70%",4,"intense, spicy, butterscotch",4
"Nigeria","70%",4,"candy like off flavor",2.75
"Guatemala","80%",4,"intense earthy, cocoa, roasty",3.25
"Philippines","70%",4,"cocoa, honey, watery, sweet",3.5
"Nicaragua","70%",4,"fruit, holiday spice",3.5
"Dominican Republic","70%",2,"coarse, earthy, mild banana",3.25
"Madagascar","82%",NA,"fatty, muted",2.75
"Dominican Republic","70%",3,"dates, acidic, rich cocoa",3.25
"Venezuela","70%",3,"cherry, earthy, tobacco",3.25
"Peru","70%",3,"sandy, orange, butterscotch",3.5
"Venezuela","70%",3,"fatty, roasty, intense brownie",3.5
"Ecuador","70%",3,"blackberry and cinnamon",4
"Peru","70%",3,"smoth, dense, grape",4
"Dominican Republic","70%",3,"accidental spicy (Kulfi?), burn",3
"Peru","70%",3,"waxy, spicy, tobacco",3.25
"Madagascar","70%",3,"ultra fruity",3.5
"Dominican Republic","70%",3,"spicy, cocoa",3.75
"Colombia","70%",3,"dried fruit, strong floral",3.25
"Colombia","70%",3,"mild, dried fruit, chocolate",3.25
"Peru","72%",3,"buttery, burlap",2.75
"Peru","80%",2,"nutty, almond butter",3.5
"Venezuela","68%",2,"dry, gritty, cardboard, nutty",3
"Trinidad","70%",3,"vegetal, rubbery, burnt, off",3
"Dominican Republic","70%",3,"cashew, dried fruit, coffee AT",3
"Tanzania","70%",3,"creamy, minted cocoa, fruit",3.25
"Vietnam","62%",3,"sweet, smooth, caramel, cocoa",3.25
"Vietnam","70%",3,"complex, tart, sweet, hazelnut",3.5
"Colombia","70%",3,"toffee, caramel, sl. Fatty",3.5
"Madagascar","70%",2,"molasses, red fruit, astringent",3
"Colombia","70%",2,"cocoa, spice, alcohol, dirty",3
"Bolivia","71%",4,"lemon, tart, burnt, chemical",2.75
"Bolivia","75%",4,"nutty, rich, red berry",3.75
"Venezuela","70%",5,"gritty, chalky, earthy, sour",2.75
"Venezuela","74%",5,"sandy, banana, sour",2.5
"Venezuela","58%",5,"gritty, sweet, banana, smoke",2.5
"Venezuela","61%",5,"muted, cherry, banana",3
"Venezuela","60.50%",5,"very sweet, marshmallow",2.75
"Venezuela","70%",5,"sandy,bold,cherry,peanut butter",3
"Venezuela","70%",5,"spicy, caramel, vanilla",3.75
"Guatemala","70%",3,"cocoa, fig notes",3.5
"Ecuador","70%",3,"fatty, floral, rum, roasty",3
"Dominican Republic","70%",3,"dominate roast, fruit then earthy",3
"Madagascar","70%",3,"roasty, hammy, sour",3.25
"Tanzania","70%",3,"heavy roast, choco, coffee-like",3.5
"Belize","70%",3,"dried fruit, raisiny, mild roast",3.5
"Uganda","70%",3,"simple, mild caramel, choco",3.75
"St. Lucia","60%",2,"low refinement, too sweet",2.75
"St. Lucia","70%",2,"sandy, tannic, earthy",3.25
"Venezuela","79%",3,"coarse, woody, roasty",3
"Peru","78%",3,"brownine, nutty",3.5
"Dominican Republic","70%",2,"earthy, floral, cocoa",3.25
"Haiti","70%",2,"simple, mild cocoa, fruit",3.5
"Guatemala","70%",2,"spicy, sweet,",3.5
"Madagascar","70%",2,"fruity, roasty",3.5
"Honduras","75%",2,"carrots, heavy roast",3.25
"Vietnam","72%",2,"intens, brownie, spicy, metal",3
"Sierra Leone","70%",3,"dirty, earthy, burnt, honey",2.5
"Tanzania","80%",3,"fruit, dirty",3
"Trinidad","72%",3,"muddy, raisins, nut, rubbery",3.5
"Blend","80%",NA,"unrefined, crumbly, sweet",3.25
"Vietnam","80%",3,"mild bitter, smoke, hammy",3
"Vietnam","70%",3,"spicy, green, long, intense",3.25
"Vietnam","74%",3,"grit,smoke, wood, blackberry",3.25
"Venezuela","72%",4,"woody, cocoa",3
"Costa Rica","65%",4,"sticky, slight plum, medicinal",2
"Blend","74%",4,"sweet, vanilla, sticky",2.75
"Venezuela","81%",4,"hazelnut, fruit, slight bitter",3.5
"Venezuela","70%",4,"nutty, ginger, off notes",2.75
"Blend","65%",3,"sweet, too few nibs, cocoa",3
"Colombia","70%",2,"mild licorice, late mocha",3.5
"Uganda","80%",2,"fatty, fruit, deep cocoa",3.25
"Blend","55%",4,"gritty,overyly sweet,fruit punch",2.5
"Trinidad","55%",4,"grits, very sweet, banana",2.5
"Venezuela","70%",4,"strong vanilla, strawberry, nut",2.5
"Blend","62%",4,"gritty, sweet, vanilla, woody",2.5
"Blend","62%",4,"sweet, vanilla, mild banana",2.75
"Belize","80%",3,"mild fruit, earthy",3
"Ecuador","80%",3,"spicy, roasty, mild bitter",3.5
"Dominican Republic","80%",3,"coarse, mild bitter, raisin",3.75
"Guatemala","80%",3,"prominent plum note",3.5
"Uganda","70%",3,"sandy, basic cocoa, sweet",3
"Haiti","70%",2,"sandy, sweet, candy-like",2.5
"Peru","73%",3,"dominated by heavy roast",3
"Brazil","75%",2,"perfume, floral, vanilla",2.75
"Venezuela","76%",2,"fatty, sandy, nutty, off notes",2.5
"Belize","76%",2,"metallic, off notes, powdery",2.75
"Jamaica","76%",2,"roasty, spicy, nutty",3
"Blend","62%",5,"malitol, cocoa",2
"Madagascar","64%",5,"basic cocoa, short length",3
"Venezuela","65%",5,"creamy, floral, complex",3
"Dominican Republic","74%",5,"creamy, roasty, cocoa",3
"Ecuador","72%",5,"fatty, rich, spice, nutty",3.5
"Bolivia","68%",5,"complex, raspberry, cocoa",4
"Grenada","58%",5,"spicey, marshmallow",3.5
"Puerto Rico","65%",3,"intense, molasses, sweet",2.25
"Dominican Republic","85%",3,"intense, molasses, bitter",2.5
"Dominican Republic","80%",3,"molasses, licorice, bitter",3
"Dominican Republic","70%",3,"sandy, sweet, mild fruit",3.25
"Honduras","70%",3,"off, hammy, roasty",2.75
"Colombia","70%",3,"nutty, melon, vinegar",2.75
"Mexico","70%",3,"banana, bland, sour, off",3
"Blend","70%",3,"fruit, cocoa, fatty",3.25
"Philippines","73%",4,"creamy, honey, mild hammy",3.25
"Papua New Guinea","72%",4,"caramel, acidic, creamy",3.5
"Solomon Islands","69%",4,"plums, cocoa",3.5
"Vanuatu","72%",4,"cherry, cocoa, creamy",3.75
"Belize","75%",2,"hammy, dried fruit",2.75
"Guatemala","75%",2,"hammy, large grits",2.75
"Colombia","75%",2,"high acidity, bitter, nutty",3
"Dominican Republic","75%",2,"roasty, simple",3.5
"Madagascar","70%",3,"molasses, sour notes",3
"India","68%",3,"muted, mild sweet cocoa",3.5
"Tanzania","70%",3,"fruit, spicy mild molasses",3.5
"Peru","72%",3,"coconut, true to sugar bar",2.75
"Dominican Republic","70%",6,"strong vanilla, earthy, nutty",2.75
"Dominican Republic","80%",6,"vanilla, dried fruit, nuts",2.75
"Madagascar","70%",2,"gummy, bland, sour",2.75
"Ecuador","75%",2,"sticky, floral",3.5
"Tanzania","67%",2,"gummy, sandy, complex",3.75
"Dominican Republic","72%",2,"coffee, acidic, astringent",2.75
"Bolivia","70%",2,"nuts, sour milk",3
"Indonesia","70%",2,"sandy, powdery, late sour",3
"Philippines","70%",2,"sandy, dried fruit, roasty",3.25
"Haiti","68%",2,"roasty, hazelnut, cocoa",3.5
"Mexico","70%",2,"sticky, dried sour fruit, roasty",3
"Madagascar","70%",2,"roasted nuts, citrus, creamy",3.5
"Indonesia","72%",2,"dried fruit (fig), black licorice",3.5
"Malaysia","72%",2,"dairy, cocoa, mild sour",3.5
"Papua New Guinea","70%",2,"off, tropical, vegetal, rubbery",3
"Bolivia","70%",2,"honey, mild floral, mild off",3
