"Product","Fat_g","Carbs_g","Protein_g","Calories"
"Puddings Chocolate Dry Mix Instant","1.9","87.9","2.3","378"
"Puddings Chocolate Dry Mix Regular Prepared With 2% Milk","2.06","19.76","3.28","111"
"Rennin Chocolate Dry Mix Prepared With 2% Milk","2.06","13.47","3.24","85"
"Milk Chocolate With Almonds","34.4","53.4","9","526"
"Milk Chocolate With Rice Cereal","29.37","59.67","7.64","511"
"Mr. Goodbar Chocolate Bar","33.21","54.34","10.22","538"
"Rolo Caramels In Milk Chocolate","20.93","67.95","5.08","474"
"Ice Creams Chocolate Rich","16.98","19.78","4.72","251"
"Puddings Chocolate Flavor Low Calorie Instant Dry Mix","2.4","78.2","5.3","356"
"Puddings All Flavors Except Chocolate Low Calorie Instant Dry Mix","0.9","84.66","0.81","350"
"Frozen Novelties Ice Cream Type Chocolate Or Caramel Covered With Nuts","20.2","30.9","4.4","323"
"Granola Bar Soft Milk Chocolate Coated Peanut Butter","31.2","54.1","9.6","536"
"Mars Snackfood Us Twix Chocolate Fudge Cookie Bars","33.3","56","7.3","553"
"Frozen Yogurts Chocolate Nonfat Milk Sweetened Without Sugar","0.8","19.7","4.4","107"
"Frozen Yogurts Chocolate","3.6","21.6","3","131"
"Mars Snackfood Us M&Ms Almond Chocolate","27.76","60.5","7.53","522"
"Krackel Chocolate Bar","26.58","64.34","6.62","523"
"Puddings Chocolate Dry Mix Instant Prepared With 2% Milk","1.92","18.89","3.15","105"
"Baking Chocolate Mexican Squares","15.59","77.41","3.64","426"
"Chocolate-Flavored Hazelnut Spread","29.73","62.36","5.41","539"
"Milk Chocolate Coated Peanuts","33.5","49.7","13.1","519"
"Glutino Gluten Free Wafers Milk Chocolate","30.42","62.82","4.06","541"
"Semisweet Chocolate","30","63.9","4.2","480"
"Sweet Chocolate","34.2","60.4","3.9","507"
"Sweet Chocolate Coated Fondant","9.3","80.4","2.2","366"
"Symphony Milk Chocolate Bar","30.57","58.01","8.51","531"
"Fudge Chocolate Prepared-From-Recipe","10.41","76.7","2.39","410"
"Fudge Chocolate With Nuts Prepared-From-Recipe","18.93","68.15","4.38","460"
"Snacks Granola Bars Hard Chocolate Chip","16.3","72.1","7.3","438"
"Tootsie Roll Chocolate-Flavor Roll","3.31","87.73","1.59","387"
"Toblerone Milk Chocolate With Honey And Almond Nougat","28.57","61.21","5.71","489"
"Snacks Crisped Rice Bar Chocolate Chip","13.5","73","5.1","404"
"Heinz Weight Watcher Chocolate Eclair Frozen","6.9","40.3","4.4","241"
"Puddings Chocolate Flavor Low Calorie Regular Dry Mix","3","74.42","10.08","365"
"Puddings All Flavors Except Chocolate Low Calorie Regular Dry Mix","0.1","86.04","1.6","351"
"Chocolate-Flavored Drink Whey And Milk Based","0.4","10.68","0.64","49"
"Frozen Novelties Ice Cream Type Vanilla Ice Cream Light No Sugar Added Chocolate Coated","10.1","26.11","6.4","221"
"Milk Dessert Frozen Milk-Fat Free Chocolate","1","37.7","4.3","167"
"Mars Snackfood Us M&Ms Peanut Butter Chocolate","29.32","56.89","10.16","529"
"Glutino Gluten Free Cookies Chocolate Vanilla Creme","17.89","76.03","2.19","474"
"Nestle Goobers Chocolate Covered Peanuts","34","53","9.7","512"
"Ice Creams Chocolate Light","7.19","25.7","5","187"
"Milk Chocolate","29.66","59.4","7.65","535"
"Snacks Pretzels Hard Confectioners Coating Chocolate-Flavor","16.7","70.9","7.5","457"
"Caramels Chocolate-Flavor Roll","3.31","87.73","1.59","387"
"Baking Chocolate Unsweetened Liquid","47.7","36.2","12.1","472"
"Unsweetened Baking Chocolate","52.31","28.42","14.32","642"
"White Chocolate","32.09","59.24","5.87","539"
"Snacks Granola Bars Soft Coated Milk Chocolate Coating Chocolate Chip","24.9","63.8","5.8","466"
"Snacks Granola Bars Soft Coated Milk Chocolate Coating Peanut Butter","31.1","53.4","10.2","508"
"Snacks Granola Bars Soft Uncoated Peanut Butter And Chocolate Chip","20","62.2","9.8","432"
"Pie Crust Cookie-Type Chocolate Ready Crust","22.42","64.48","6.08","484"
"Waffles Chocolate Chip Frozen Ready-To-Heat","10.1","45.68","5.8","297"
